IdSensore,Tipologia,Unità DiMisura,IdStazione,NomeStazione,Quota,Provincia,NomeComune,Indirizzo,CGB_Nord,CGB_Est,lng,lat,location
2001,Temperatura,°C,100,Milano - Lambrate,120,MI,Milano,parco Lambro - acquedotto,5038191,1520147,9.25751572,45.49678183,"(45.49678183, 9.25751572)"
2002,Umidità Relativa,%,100,Milano - Lambrate,120,MI,Milano,parco Lambro - acquedotto,5038191,1520147,9.25751572,45.49678183,"(45.49678183, 9.25751572)"
2006,Precipitazione,mm,100,Milano - Lambrate,120,MI,Milano,parco Lambro - acquedotto,5038191,1520147,9.25751572,45.49678183,"(45.49678183, 9.25751572)"
2008,Radiazione Globale,W/mq,100,Milano - Lambrate,120,MI,Milano,parco Lambro - acquedotto,5038191,1520147,9.25751572,45.49678183,"(45.49678183, 9.25751572)"
2039,Temperatura,°C,102,S.Colombano al Lambro (ersaf) *,80,MI,San Colombano al Lambro,via Serafina - c/o Vigneto Sperimentale Moretto,5003859,1538227,9.48625681,45.18700408,"(45.18700408, 9.48625681)"
2040,Umidità Relativa,%,102,S.Colombano al Lambro (ersaf) *,80,MI,San Colombano al Lambro,via Serafina - c/o Vigneto Sperimentale Moretto,5003859,1538227,9.48625681,45.18700408,"(45.18700408, 9.48625681)"
2044,Radiazione Globale,W/mq,102,S.Colombano al Lambro (ersaf) *,80,MI,San Colombano al Lambro,via Serafina - c/o Vigneto Sperimentale Moretto,5003859,1538227,9.48625681,45.18700408,"(45.18700408, 9.48625681)"
2046,Precipitazione,mm,102,S.Colombano al Lambro (ersaf) *,80,MI,San Colombano al Lambro,via Serafina - c/o Vigneto Sperimentale Moretto,5003859,1538227,9.48625681,45.18700408,"(45.18700408, 9.48625681)"
2082,Temperatura,°C,106,Varzi (ersaf),500,PV,Varzi,Nivione,4963427,1515446,9.19503519,44.82391153,"(44.82391153, 9.19503519)"
2083,Umidità Relativa,%,106,Varzi (ersaf),500,PV,Varzi,Nivione,4963427,1515446,9.19503519,44.82391153,"(44.82391153, 9.19503519)"
2084,Radiazione Globale,W/mq,106,Varzi (ersaf),500,PV,Varzi,Nivione,4963427,1515446,9.19503519,44.82391153,"(44.82391153, 9.19503519)"
2089,Precipitazione,mm,106,Varzi (ersaf),500,PV,Varzi,Nivione,4963427,1515446,9.19503519,44.82391153,"(44.82391153, 9.19503519)"
2096,Temperatura,°C,107,Sondrio (ersaf),307,SO,Sondrio,via Valeriana 32 - c/o Ist. Fondazione Fojanini,5112818,1565532,9.84850281,46.16559603,"(46.16559603, 9.84850281)"
2097,Umidità Relativa,%,107,Sondrio (ersaf),307,SO,Sondrio,via Valeriana 32 - c/o Ist. Fondazione Fojanini,5112818,1565532,9.84850281,46.16559603,"(46.16559603, 9.84850281)"
2098,Radiazione Globale,W/mq,107,Sondrio (ersaf),307,SO,Sondrio,via Valeriana 32 - c/o Ist. Fondazione Fojanini,5112818,1565532,9.84850281,46.16559603,"(46.16559603, 9.84850281)"
2103,Precipitazione,mm,107,Sondrio (ersaf),307,SO,Sondrio,via Valeriana 32 - c/o Ist. Fondazione Fojanini,5112818,1565532,9.84850281,46.16559603,"(46.16559603, 9.84850281)"
2110,Temperatura,°C,108,Samolaco (ersaf),206,SO,Samolaco,via Vignola,5120391,1532923,9.42666611,46.236112,"(46.236112, 9.42666611)"
2111,Umidità Relativa,%,108,Samolaco (ersaf),206,SO,Samolaco,via Vignola,5120391,1532923,9.42666611,46.236112,"(46.236112, 9.42666611)"
2112,Radiazione Globale,W/mq,108,Samolaco (ersaf),206,SO,Samolaco,via Vignola,5120391,1532923,9.42666611,46.236112,"(46.236112, 9.42666611)"
2116,Precipitazione,mm,108,Samolaco (ersaf),206,SO,Samolaco,via Vignola,5120391,1532923,9.42666611,46.236112,"(46.236112, 9.42666611)"
2122,Temperatura,°C,109,S.Angelo Lodigiano,60,LO,Sant'Angelo Lodigiano,via Mulino 3 - c/o Ist. cerealicoltura,5011998,1529815,9.3796695,45.26067169,"(45.26067169, 9.3796695)"
2123,Umidità Relativa,%,109,S.Angelo Lodigiano,60,LO,Sant'Angelo Lodigiano,via Mulino 3 - c/o Ist. cerealicoltura,5011998,1529815,9.3796695,45.26067169,"(45.26067169, 9.3796695)"
